PayloadPath,SourceType,Section,FormQuestionTitle,QuestionType,RequiredByDefault,ValueSource,ValueTemplate,ExampleValue,Notes
template_data.argument,Form,Positions,Union argument,Long text,Yes,Get response details -> Union argument,<Map from Forms: Union argument>,The contract requires equal rotation based on seniority.,
template_data.analysis,Form,Positions,Analysis,Long text,Yes,Get response details -> Analysis,<Map from Forms: Analysis>,Company practice conflicts with the negotiated overtime language.,
template_data.company_name,Form,Positions,Company name,Text,Yes,Get response details -> Company name,<Map from Forms: Company name>,AT&T,
template_data.company_position,Form,Positions,Company position,Long text,Yes,Get response details -> Company position,<Map from Forms: Company position>,Management states overtime was assigned by operational need.,
template_data.company_strengths,Form,Positions,Company strengths,Long text,No,Get response details -> Company strengths,<Map from Forms: Company strengths>,Supervisor testimony is consistent.,
template_data.company_weaknesses,Form,Positions,Company weaknesses,Long text,No,Get response details -> Company weaknesses,<Map from Forms: Company weaknesses>,No written exception to the rotation rule exists.,
template_data.company_proposed_settlement,Form,Positions,Company proposed settlement,Long text,No,Get response details -> Company proposed settlement,<Map from Forms: Company proposed settlement>,No remedy offered.,
template_data.union_position,Form,Positions,Union position,Long text,Yes,Get response details -> Union position,<Map from Forms: Union position>,Union seeks restoration of proper rotation and make-whole relief.,
template_data.union_strengths,Form,Positions,Union strengths,Long text,No,Get response details -> Union strengths,<Map from Forms: Union strengths>,Clear contract language and past practice support the claim.,
template_data.union_weaknesses,Form,Positions,Union weaknesses,Long text,No,Get response details -> Union weaknesses,<Map from Forms: Union weaknesses>,One witness statement was prepared after the fact.,
template_data.union_proposed_settlement,Form,Positions,Union proposed settlement,Long text,No,Get response details -> Union proposed settlement,<Map from Forms: Union proposed settlement>,Pay the missed overtime and restore correct assignment order.,
template_data.attachment_1,Form,Attachments,Attachment 1 label,Text,No,Get response details -> Attachment 1 label,<Map from Forms: Attachment 1 label>,Exhibit A - Attendance log,"Use a short exhibit label or filename, not a file upload control."
template_data.attachment_2,Form,Attachments,Attachment 2 label,Text,No,Get response details -> Attachment 2 label,<Map from Forms: Attachment 2 label>,Exhibit B - Schedule,
template_data.attachment_3,Form,Attachments,Attachment 3 label,Text,No,Get response details -> Attachment 3 label,<Map from Forms: Attachment 3 label>,,
template_data.attachment_4,Form,Attachments,Attachment 4 label,Text,No,Get response details -> Attachment 4 label,<Map from Forms: Attachment 4 label>,,
template_data.attachment_5,Form,Attachments,Attachment 5 label,Text,No,Get response details -> Attachment 5 label,<Map from Forms: Attachment 5 label>,,
template_data.attachment_6,Form,Attachments,Attachment 6 label,Text,No,Get response details -> Attachment 6 label,<Map from Forms: Attachment 6 label>,,
template_data.attachment_7,Form,Attachments,Attachment 7 label,Text,No,Get response details -> Attachment 7 label,<Map from Forms: Attachment 7 label>,,
template_data.attachment_8,Form,Attachments,Attachment 8 label,Text,No,Get response details -> Attachment 8 label,<Map from Forms: Attachment 8 label>,,
template_data.attachment_9,Form,Attachments,Attachment 9 label,Text,No,Get response details -> Attachment 9 label,<Map from Forms: Attachment 9 label>,,
template_data.attachment_10,Form,Attachments,Attachment 10 label,Text,No,Get response details -> Attachment 10 label,<Map from Forms: Attachment 10 label>,,
template_data.signer_email,Form,Routing,Signer email override,Email,No,Get response details -> Signer email override,<Optional Forms answer: Signer email override>,steward@example.com,Leave blank when the default signer should be grievant_email.
